date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:54	12219/12219	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:36%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/iziToast/dist/js/iziToast.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/iziToast/dist/js/iziToast.min.js	(from http://materialadmin.thememinister.com/admin/notification.html)
22:07:54	8372/8372	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:54%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/NotificationStyles/js/modernizr.custom.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/NotificationStyles/js/modernizr.custom.js	(from http://materialadmin.thememinister.com/admin/notification.html)
22:07:54	2112/2112	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:54%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/NotificationStyles/js/classie.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/NotificationStyles/js/classie.js	(from http://materialadmin.thememinister.com/admin/notification.html)
22:07:55	4022/4022	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:54%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/NotificationStyles/js/notificationFx.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/NotificationStyles/js/notificationFx.js	(from http://materialadmin.thememinister.com/admin/notification.html)
22:07:56	5264/5264	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:35:20%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/toastr/toastr.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/toastr/toastr.min.js	(from http://materialadmin.thememinister.com/admin/notification.html)
22:07:57	1122/1122	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:35:20%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/tree-view/tree-view.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/tree-view/tree-view.min.js	(from http://materialadmin.thememinister.com/admin/tree-view.html)
22:07:57	5262/5262	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Aug%202017%2014:35:16%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/tingle/dist/tingle.css	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/tingle/dist/tingle.css	(from http://materialadmin.thememinister.com/admin/modals.html)
22:07:58	73161/73161	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:54%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/NotificationStyles/js/snap.svg-min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/NotificationStyles/js/snap.svg-min.js	(from http://materialadmin.thememinister.com/admin/notification.html)
22:07:58	28560/28560	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Aug%202017%2014:35:10%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/ssi-modal/ssi-modal.css	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/ssi-modal/ssi-modal.css	(from http://materialadmin.thememinister.com/admin/modals.html)
22:08:03	1750/1750	---M--	200	added ('OK')	image/png	etag:%225972a392-6d6%22	https://placehold.it/700x400	/home/gaurav/websites/Admin1/placehold.it/700x400.png	(from http://materialadmin.thememinister.com/admin/modals.html)
22:08:04	13806/13806	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:35:16%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/tingle/dist/tingle.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/tingle/dist/tingle.js	(from http://materialadmin.thememinister.com/admin/modals.html)
22:08:04	24593/24593	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:35:10%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/ssi-modal/ssi-modal.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/ssi-modal/ssi-modal.min.js	(from http://materialadmin.thememinister.com/admin/modals.html)
22:08:05	1590/1590	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Aug%202017%2014:34:06%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/bootstrap-toggle/css/bootstrap-toggle.min.css	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/bootstrap-toggle/css/bootstrap-toggle.min.css	(from http://materialadmin.thememinister.com/admin/icheck_toggle_pagination.html)
22:08:06	4129/4129	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:06%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/bootstrap-toggle/js/bootstrap-toggle.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/bootstrap-toggle/js/bootstrap-toggle.min.js	(from http://materialadmin.thememinister.com/admin/icheck_toggle_pagination.html)
22:08:07	1189807/1189807	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:28%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/datatables/dataTables.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/datatables/dataTables.min.js	(from http://materialadmin.thememinister.com/admin/table.html)
22:08:08	5351/5351	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:35:20%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/tooltipsy/tooltipsy.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/tooltipsy/tooltipsy.min.js	(from http://materialadmin.thememinister.com/admin/tooltip.html)
22:08:09	5252/5252	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Aug%202017%2014:34:34%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/images-grid/src/images-grid.css	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/images-grid/src/images-grid.css	(from http://materialadmin.thememinister.com/admin/image_gellary.html)
22:08:09	2846/2846	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Aug%202017%2014:34:40%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/lightbox2/dist/css/lightbox.min.css	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/lightbox2/dist/css/lightbox.min.css	(from http://materialadmin.thememinister.com/admin/image_gellary.html)
22:08:41	173709/173709	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Aug%202017%2014:34:04%20GMT	http://materialadmin.thememinister.com/admin/assets/dist/img/imgs/4.jpg	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/dist/img/imgs/4.jpg	(from http://materialadmin.thememinister.com/admin/image_gellary.html)
22:08:49	247911/247911	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Aug%202017%2014:34:04%20GMT	http://materialadmin.thememinister.com/admin/assets/dist/img/imgs/3.jpg	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/dist/img/imgs/3.jpg	(from http://materialadmin.thememinister.com/admin/image_gellary.html)
22:08:59	310742/310742	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Aug%202017%2014:34:04%20GMT	http://materialadmin.thememinister.com/admin/assets/dist/img/imgs/2.jpg	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/dist/img/imgs/2.jpg	(from http://materialadmin.thememinister.com/admin/image_gellary.html)
22:09:22	247735/247735	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Aug%202017%2014:34:04%20GMT	http://materialadmin.thememinister.com/admin/assets/dist/img/imgs/5.jpg	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/dist/img/imgs/5.jpg	(from http://materialadmin.thememinister.com/admin/image_gellary.html)
22:09:26	524742/524742	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Aug%202017%2014:34:04%20GMT	http://materialadmin.thememinister.com/admin/assets/dist/img/imgs/1.jpg	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/dist/img/imgs/1.jpg	(from http://materialadmin.thememinister.com/admin/image_gellary.html)
22:09:27	17978/17978	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:34%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/images-grid/src/images-grid.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/images-grid/src/images-grid.js	(from http://materialadmin.thememinister.com/admin/image_gellary.html)
22:09:27	94140/94140	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:42%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/lightbox2/dist/js/lightbox-plus-jquery.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/lightbox2/dist/js/lightbox-plus-jquery.min.js	(from http://materialadmin.thememinister.com/admin/image_gellary.html)
22:09:28	2936/2936	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Aug%202017%2014:34:56%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/OwlCarousel2/dist/assets/owl.carousel.min.css	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/OwlCarousel2/dist/assets/owl.carousel.min.css	(from http://materialadmin.thememinister.com/admin/carousel.html)
22:09:28	1330/1330	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Aug%202017%2014:34:56%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/OwlCarousel2/dist/assets/owl.theme.default.css	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/OwlCarousel2/dist/assets/owl.theme.default.css	(from http://materialadmin.thememinister.com/admin/carousel.html)
22:09:29	3934/3934	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Aug%202017%2014:34:36%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/jquery-bxslider/jquery.bxslider.css	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/jquery-bxslider/jquery.bxslider.css	(from http://materialadmin.thememinister.com/admin/carousel.html)
22:09:31	23543/23543	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:36%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/jquery-bxslider/jquery.bxslider.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/jquery-bxslider/jquery.bxslider.min.js	(from http://materialadmin.thememinister.com/admin/carousel.html)
22:09:31	42766/42766	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:56%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/OwlCarousel2/dist/owl.carousel.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/OwlCarousel2/dist/owl.carousel.min.js	(from http://materialadmin.thememinister.com/admin/carousel.html)
22:09:32	6218/6218	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:28%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/datamaps/topojson.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/datamaps/topojson.min.js	(from http://materialadmin.thememinister.com/admin/maps_data.html)
22:09:39	142903/142903	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:26%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/datamaps/d3.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/datamaps/d3.min.js	(from http://materialadmin.thememinister.com/admin/maps_data.html)
22:09:40	140398/140398	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:28%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/datamaps/datamaps.all.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/datamaps/datamaps.all.min.js	(from http://materialadmin.thememinister.com/admin/maps_data.html)
22:09:40	6635/6635	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Aug%202017%2014:34:40%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/jvectormap/jquery-jvectormap-2.0.3.css	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/jvectormap/jquery-jvectormap-2.0.3.css	(from http://materialadmin.thememinister.com/admin/maps_jvector.html)
22:09:42	57116/57116	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:40%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/jvectormap/jquery-jvectormap-2.0.3.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/jvectormap/jquery-jvectormap-2.0.3.min.js	(from http://materialadmin.thememinister.com/admin/maps_jvector.html)
22:09:47	104258/104258	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:40%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/jvectormap/jquery-jvectormap-world-mill-en.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/jvectormap/jquery-jvectormap-world-mill-en.js	(from http://materialadmin.thememinister.com/admin/maps_jvector.html)
22:09:49	102392/102392	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:40%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/jvectormap/jquery-jvectormap-asia-mill.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/jvectormap/jquery-jvectormap-asia-mill.js	(from http://materialadmin.thememinister.com/admin/maps_jvector.html)
22:09:52	53003/53003	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:30%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/flot/jquery.flot.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/flot/jquery.flot.min.js	(from http://materialadmin.thememinister.com/admin/charts_flot.html)
22:09:53	103429/103429	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:40%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/jvectormap/jquery-jvectormap-europe-mill.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/jvectormap/jquery-jvectormap-europe-mill.js	(from http://materialadmin.thememinister.com/admin/maps_jvector.html)
22:09:54	12220/12220	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2014:34:30%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/flot/jquery.flot.pie.min.js	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/flot/jquery.flot.pie.min.js	(from http://materialadmin.thememinister.com/admin/charts_flot.html)
22:09:54	15208/15208	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Aug%202017%2014:34:30%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/fullcalendar/fullcalendar.min.css	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/fullcalendar/fullcalendar.min.css	(from http://materialadmin.thememinister.com/admin/charts_sparkline.html)
22:09:55	1900/1900	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Aug%202017%2014:34:30%20GMT	http://materialadmin.thememinister.com/admin/assets/plugins/fullcalendar/fullcalendar.print.min.css	/home/gaurav/websites/Admin1/materialadmin.thememinister.com/admin/assets/plugins/fullcalendar/fullcalendar.print.min.css	(from http://materialadmin.thememinister.com/admin/charts_sparkline.html)
